Date,BNB-USD,BTC-USD,ETH-USD,LINK-USD,MATIC-USD,SOL-USD,XRP-USD
4/8/2020,22.28258514,11205.89258,389.8754883,9.821836472,0.020646,1.871639013,0.300493002
5/8/2020,23.33621788,11747.02246,401.5905762,9.558773994,0.02138,1.75454998,0.30331099
6/8/2020,22.70766068,11779.77344,394.9619446,10.14025497,0.02177,2.206347942,0.303584009
7/8/2020,22.31154633,11601.47266,379.5128479,10.06336498,0.021398,2.085902929,0.294663996
8/8/2020,22.87811852,11754.0459,393.9873657,12.68920708,0.022847001,2.473624945,0.294021994
9/8/2020,22.47553635,11675.73926,391.1204529,13.85320473,0.022779001,2.66522789,0.288652986
10/8/2020,22.61379623,11878.11133,395.8875732,13.44103527,0.024364,3.131793022,0.294658989
11/8/2020,21.25694466,11410.52539,380.3840637,13.10599041,0.023073999,3.303419113,0.284449011
12/8/2020,21.75144958,11584.93457,391.0241699,16.62154388,0.025544001,3.769751072,0.284929991
13/8/2020,22.07554436,11784.1377,428.7417908,17.32600212,0.027391,3.755970955,0.297807008
14/8/2020,23.06979179,11768.87109,437.3978271,16.92643166,0.028144,3.409388065,0.300370991
15/8/2020,23.0217514,11865.69824,433.3549194,19.09875107,0.030119,3.183794975,0.299661011
16/8/2020,23.49710274,11892.80371,433.7866211,18.80418587,0.030161001,3.385653019,0.30349201
17/8/2020,23.51010323,12254.40234,429.53125,16.70554543,0.028791999,3.098608017,0.314767003
18/8/2020,23.06718063,11991.2334,423.6693115,16.24137497,0.026970999,3.329976082,0.303306997
19/8/2020,22.31039619,11758.2832,406.4637756,16.23998451,0.024896,2.899040937,0.29024601
20/8/2020,23.09257507,11878.37207,416.4397888,16.09129715,0.026709,3.208266973,0.292573005
21/8/2020,22.12899399,11592.48926,389.1263428,13.80085564,0.024932001,2.943667889,0.280681998
22/8/2020,22.23982048,11681.8252,395.835144,15.96019173,0.026151,3.020885944,0.286545992
23/8/2020,21.87084198,11664.84766,391.384491,15.17467594,0.025308,3.322431087,0.285385996
24/8/2020,22.60585213,11774.5957,408.1441956,15.1833601,0.027981,3.344985962,0.289214998
25/8/2020,21.47536659,11366.13477,384.0010376,14.21681118,0.025861001,3.264849901,0.277927011
26/8/2020,22.2773056,11488.36328,386.4661255,15.25175476,0.026905,3.558374882,0.277491003
27/8/2020,23.08075333,11323.39746,382.6326294,14.49771118,0.025737001,3.445060015,0.264510989
28/8/2020,23.13381195,11542.5,395.8746643,15.15606117,0.026854999,4.01139307,0.272046
29/8/2020,23.01127243,11506.86523,399.9214783,16.56707764,0.027682999,3.968808889,0.274497002
30/8/2020,23.64491463,11711.50586,428.3957214,16.47296333,0.027178001,4.435822964,0.283033997
31/8/2020,23.19305038,11680.82031,435.0797424,15.70848846,0.026573,4.782045841,0.281765997
1/9/2020,24.82209587,11970.47852,477.0519104,16.12149239,0.025613001,4.3445158,0.29569599
2/9/2020,24.69036293,11414.03418,440.0404968,14.89739704,0.02351,4.164472103,0.276461005
3/9/2020,20.6198864,10245.29688,385.671936,12.01667786,0.019393001,3.527339935,0.246580005
4/9/2020,21.05610657,10511.81348,388.2411499,12.49286556,0.019456999,3.54579401,0.255883008
5/9/2020,19.4787674,10169.56738,335.2600708,10.61147213,0.018017,2.597915888,0.237691998
6/9/2020,23.19066238,10280.35156,353.3622742,12.91372871,0.018787,3.086042881,0.240731001
7/9/2020,22.39330673,10369.56348,352.6734924,12.42657661,0.018834,2.92852807,0.242174
8/9/2020,23.19024849,10131.5166,337.6021118,11.78503227,0.018251,2.468976974,0.236753002
9/9/2020,24.5302906,10242.34766,351.1100159,12.37729263,0.020152001,3.63637805,0.239609003
10/9/2020,24.55988884,10363.13867,368.1018982,12.5513134,0.020475,3.46983695,0.243530005
11/9/2020,25.45141411,10400.91504,374.6955872,12.50149727,0.021206001,3.427428007,0.243292004
12/9/2020,28.5298481,10442.1709,387.1831055,12.76903057,0.020981001,3.33265996,0.247814
13/9/2020,31.05862999,10323.75586,365.5700073,11.99354553,0.019815,3.2258389,0.241800994
14/9/2020,31.17864227,10680.83789,377.2688599,12.11957932,0.020138999,3.269133091,0.246326998
15/9/2020,27.20239067,10796.95117,364.8392029,10.97815418,0.020505,2.939121008,0.243849993
16/9/2020,27.96459389,10974.90527,365.8122864,10.76181602,0.019857001,2.545398951,0.247847006
17/9/2020,26.99312973,10948.99023,389.0192261,10.98888016,0.020431001,2.891874075,0.252193987
18/9/2020,27.39948082,10944.58594,384.3645325,10.08164215,0.021029999,3.107939959,0.250707
19/9/2020,27.25111198,11094.34668,385.5443726,10.14727688,0.020912999,3.028891087,0.251715988
20/9/2020,26.39213371,10938.27148,371.0528259,9.768121719,0.02196,2.870903015,0.246742994
